Review id,Username,Rating,Review text,Date
cadcde91-9403-4c8d-b8b1-fd0105c9587e,Pengguna Google,4,"Di coba dulu. Kalau memuaskan, bisa diberikan 5 bintang.",2025-12-30 21:04:03
195cc76b-1bee-4484-975e-689deea11a7e,Pengguna Google,5,mantap murah,2025-12-30 21:03:07
cdd95223-f59e-44d8-af2f-847a86e9380a,Pengguna Google,4,mantabb,2025-12-30 20:56:16
ca8b22c3-b610-44d7-b407-6c52fb0edc98,Pengguna Google,5,bisa bayar pulsa dan juga belanja,2025-12-30 20:50:07
46ac09dc-dd99-4a3d-ade5-f3aebc0979cf,Pengguna Google,5,kenapa pas transaksi gagal mulu min,2025-12-30 20:47:44
4d474a84-1e01-4d22-8517-0eae3eb0a014,Pengguna Google,1,gabisa klaim dm epep👎,2025-12-30 20:45:14
d16a30af-3519-41b7-b725-ef3761975993,Pengguna Google,1,aplikasi apa ini. saya transfer ke dana tpi tidak msuk2 saldo saya. sangat mengecewakan,2025-12-30 20:45:01
cd61adc9-fff6-4c03-a99f-457f62af16eb,Pengguna Google,5,😘,2025-12-30 20:43:30
e4824cde-ba15-4b52-92fc-14c6a23e867a,Pengguna Google,1,lama banget kalo girim uang 1 hari apapaan orang butuh sekarang giliran minta kembali saldo gak bisa p,2025-12-30 20:43:20
b29f0bdd-e5c7-4e5f-ac3e-74c9e270e2f7,Pengguna Google,5,aplikasinya bagus,2025-12-30 20:43:01
8119ca0b-a6bb-4c6e-b149-d0a095c29091,Pengguna Google,5,👍Bagus,2025-12-30 20:36:23
5138e389-f65c-445f-956f-28fb1722973f,Pengguna Google,1,buruk sekali,2025-12-30 20:32:48
317fc1f2-457b-4931-b12c-de58320c6be0,Pengguna Google,1,aplikasi jelek,2025-12-30 20:29:43
8fdbe890-6cf0-43a5-b34f-29700706569d,Pengguna Google,5,mantap,2025-12-30 20:26:28
7ee6b9b9-65c6-4774-ac03-8f27818e3037,Pengguna Google,5,bagus,2025-12-30 20:19:34
ee8ac559-84a9-4490-9406-1546b9915db2,Pengguna Google,4,"Cukup membantu, saat melakukan pembayaran",2025-12-30 20:08:15
3e537c97-9cd7-4e4a-9e9a-9c43cf7b6389,Pengguna Google,5,terima kasih sdh bersedia menerima konsultasi kami,2025-12-30 20:07:02
97a05791-4737-44bb-853a-73d16b671e8a,Pengguna Google,5,mantap,2025-12-30 20:02:33
48abd4a0-2a48-4c00-b4ca-666a8066beb8,Pengguna Google,5,"mempermudah transaksi, dan tidak takut kalo tidak bawa uang cash",2025-12-30 19:52:21
a30e642b-fce3-421e-bc5d-719794923502,Pengguna Google,5,bagus,2025-12-30 19:49:35
343c207b-e849-4c7c-9526-7ed5fb7e2fa6,Pengguna Google,5,bagus,2025-12-30 19:33:54
259df1eb-23eb-4279-b10b-d1f7ca569436,Pengguna Google,5,"bagus membantu jangan banyak iklan, kebutuhan bisa aku dapat di shopee",2025-12-30 19:31:53
ff0896c7-400c-4076-9484-505d550e46b0,Pengguna Google,5,sangat ngebantu,2025-12-30 19:28:58
26e57ff6-e4a1-421d-b65c-a410d4ac182b,Pengguna Google,5,menarik,2025-12-30 19:28:00
b9f98461-f66f-4c55-9a18-4e07fafee1f2,Pengguna Google,4,Terbaik,2025-12-30 19:26:15
68ac3da8-d255-4e0a-a6c8-6087a8e32db1,Pengguna Google,1,kenapa akun saya tidak bisa di login kan kembali padahal baru saja saya isi saldo,2025-12-30 19:24:52
16e63e3b-7c7b-448a-abf4-3ab6c33767dc,Pengguna Google,5,tidak bisa login akun lama,2025-12-30 19:22:42
4ce47697-4b92-4652-8adf-2c982a393de2,Pengguna Google,3,"truntukkkk Shoppe yg terhormat tolonggg di perbikinnn lagi apk nyyy ,masa dimna2 nongol truss iklanyaaa,pdhalll di situ gaada iklan shopee TPI tiba2 lngsung msuk,,,ke Shoppe nyy ,,,saya lagi lagi nontonn filmm ,Bru juga opening tiba2 lngsung pindh ke Shoppe dengan sendirinya PDAhal saya g sentuh apapun,,dan di lyarrny jugaa gaada iklann shoppeee,,,,,, ngenganggu bgttt apalgii klau lgii ngrjainn tugass tiba2 dengan sendirinya pindh ke shoppee!!!!!",2025-12-30 19:21:10
750bc1a0-fbd9-46c2-9b00-89f70c66f796,Pengguna Google,5,Cepat transfernya dan terpercaya,2025-12-30 19:15:45
ebb5ea1d-b02a-4f51-b478-f6bd5f4c8c5a,Pengguna Google,4,"very easy, thnx a lot shopee",2025-12-30 19:15:23
1d7f3020-9a8e-46fd-b2f1-eada3d48e968,Pengguna Google,4,cukup keren tapi limit harus bisa kecil dan lebih banyak,2025-12-30 19:13:07
0b46eadd-dda8-474f-8fad-a513ff5843c9,Pengguna Google,5,membantu pisan kangge transaksi 😂🤭,2025-12-30 19:00:58
a43f55a2-9e13-43d7-86c9-858516a73472,Pengguna Google,5,puas blanja di shoppe,2025-12-30 18:58:19
10cef11d-2450-43f5-a45c-21977e7a8df8,Pengguna Google,5,mantap appnya,2025-12-30 18:48:43
ebfb0841-0036-4451-9f00-7a70658eaa86,Pengguna Google,4,"harus banget pake parenting ya pake nya? ID Aja terus yang mau lu ambil, mau bayar, ID, Mau transfer? ID lagi, alah jembot",2025-12-30 18:39:09
5d810345-a785-48b3-b829-3e7fbd9ac5ca,Pengguna Google,5,mantap,2025-12-30 18:34:17
b581e87d-b29d-4f08-9d32-0c81a3cefc33,Pengguna Google,5,bagus sekali,2025-12-30 18:31:12
922fd7f9-0abe-4666-85b1-35ac9c11ff58,Pengguna Google,4,bagus memudahkn,2025-12-30 18:25:11
9b20b2ab-fa27-4083-b914-14846373e746,Pengguna Google,3,"data tidak terferivikasi jawabnya umur 16 tahun. aneh mana ada 16 tahun boleh ada ktp, kan lucu",2025-12-30 18:08:48
a8bccac6-2e04-4926-994d-cd5610cb5c72,Pengguna Google,4,good,2025-12-30 18:05:43
61fcbe13-19de-424b-bb98-76ffb40492fd,Pengguna Google,5,mantap,2025-12-30 17:46:12
2a89868a-8c81-480d-bb10-e7c69152101d,Pengguna Google,5,sangat membantu serta memberikan kemudahan di saat belanja.,2025-12-30 17:45:27
e306c56b-3512-4046-b872-09db08ac6f9c,Pengguna Google,1,apk dongo gapunya saldo mau pesan makan pembayaran tunai(cod) tidak tersedia aneh aneh bikin susah,2025-12-30 17:28:46
24a14fe1-5f01-4cad-b3c7-f2c7115fa380,Pengguna Google,5,bagus aman mudah dan cepat dalam segala transaksi hanya tolong banyak reseler yang ga jujur sering tidak sesuai pesanan,2025-12-30 17:22:21
8e0bef3a-4849-46f6-8895-24c547945e8c,Pengguna Google,5,ok,2025-12-30 17:18:28
6f98d519-09dd-443f-8809-5f73776dbaa6,Pengguna Google,5,"kalo bisa sih tambahin fitur keamanan verifikasi wajah saat login, mengantisipasi klo nomor mati dan di daur ulang",2025-12-30 17:14:51
5c986b05-bc77-47a2-88e4-dbba329c9787,Pengguna Google,5,sangat membantu,2025-12-30 17:09:38
e6c45ba1-0a75-4fdf-9fd5-88f0ada9745c,Pengguna Google,5,"kak kok saya tranfer dana saldo gak kirim tapi saldo akun shopeepay hilang ya kak gak kesana nya, tapi saldo gak kembali, notif transfer tanda berhasil gak ada? apakah shoopepay jadi penipu sekarang? gak ada notif, tanda pembayaran seperti biasanya,pemberitahuan gak ada berhasil/gagal gak ada, plis shopee kembali saldo saya mau 406k lebih itu nyari nya gak gampang ya, pihak shopee sekarang perbaiki bug ini ini merugikan semua orang kejadian pukul 16.58 perkiraan kejadian: tolong ya!!",2025-12-30 17:05:42
a0f74d29-e834-4f59-8ab4-9d3ddb3a4600,Pengguna Google,5,sangat bagus,2025-12-30 16:59:44
891f6562-8374-44e7-9d57-148ed09289e9,Pengguna Google,5,transaksi keuangan cepat pake shopeepay,2025-12-30 16:43:18
76614391-f691-4f5d-9fe1-332a783dbaa5,Pengguna Google,5,asyiknya,2025-12-30 16:41:47
61ca63bb-06b1-4b7b-90be-ba45f2b22c98,Pengguna Google,5,good,2025-12-30 16:41:40
f01296f9-af3a-4821-bd8e-5c819cb8b3e4,Pengguna Google,5,"sangat bagus , mudah ketika melakukan pembayaran",2025-12-30 16:40:58
83e3244a-2596-4bbe-abde-a1bd1f78e2b1,Pengguna Google,1,ga bisa pembayar lewat qris beli pulsa juga ga bisa ini gimna si pihak shopepay jadi ga nyaman untuk transaksi lainya,2025-12-30 16:32:46
f724dce2-5e0a-4674-b436-05b690335d88,Pengguna Google,5,top bgt,2025-12-30 16:25:31
a31e0ba0-23ca-4e6f-9f24-a578ffa4a427,Pengguna Google,5,Bagus,2025-12-30 16:22:48
f65f98be-26a1-4023-8802-27903ff9952c,Pengguna Google,5,terimakasih,2025-12-30 16:22:44
e72a8068-23ba-474c-b94d-169633bc1485,Pengguna Google,5,cukup puas dengan shopee pay karena memudahkan transaksi,2025-12-30 16:16:39
88f2a535-cb6d-46e8-9eb2-ba725c9502b7,Pengguna Google,5,sangat membantu,2025-12-30 16:09:52
